Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date,Captain
England,lost,7 wickets,60,won,1st,Australia,Sydney,1/19/2014,
New Zealand,lost,7 wickets,60,won,1st,Sri Lanka,Colombo (RPS),6/21/1998,Stephen Fleming (NZ)
New Zealand,lost,7 wickets,60,won,1st,Sri Lanka,Napier,12/28/2006,Daniel Vettori (NZ)
New Zealand,lost,7 wickets,60,won,1st,West Indies,Gros Islet,6/9/2002,Stephen Fleming (NZ)
Sri Lanka,won,7 wickets,60,lost,2nd,Australia,Colombo (RPS),9/27/2002,
Sri Lanka,won,7 wickets,60,lost,2nd,New Zealand,Colombo (RPS),6/21/1998,Stephen Fleming (NZ)
Sri Lanka,won,7 wickets,60,lost,2nd,New Zealand,Napier,12/28/2006,Daniel Vettori (NZ)
West Indies,won,7 wickets,60,lost,2nd,New Zealand,Gros Islet,6/9/2002,Stephen Fleming (NZ)
Pakistan,won,7 wickets,62,lost,2nd,West Indies,Toronto,9/19/1999,
Sri Lanka,won,7 wickets,62,won,2nd,West Indies,Lahore,11/1/1997,
West Indies,lost,7 wickets,62,lost,1st,Sri Lanka,Lahore,11/1/1997,
West Indies,lost,7 wickets,62,won,1st,Pakistan,Toronto,9/19/1999,
New Zealand,won,7 wickets,63,won,2nd,Pakistan,Wellington,1/31/2015,Brendon McCullum (NZ)
Pakistan,lost,7 wickets,63,lost,1st,New Zealand,Wellington,1/31/2015,Brendon McCullum (NZ)
New Zealand,won,7 wickets,64,won,2nd,West Indies,North Sound,3/29/2007,Stephen Fleming (NZ)
Pakistan,lost,7 wickets,64,won,1st,South Africa,Nairobi (Gym),10/6/1996,
South Africa,won,7 wickets,64,lost,2nd,Pakistan,Nairobi (Gym),10/6/1996,
West Indies,lost,7 wickets,64,lost,1st,New Zealand,North Sound,3/29/2007,Stephen Fleming (NZ)
New Zealand,won,7 wickets,68,lost,2nd,South Africa,Port Elizabeth,11/30/2007,Daniel Vettori (NZ)
South Africa,lost,7 wickets,68,won,1st,New Zealand,Port Elizabeth,11/30/2007,Daniel Vettori (NZ)
Australia,won,7 wickets,70,lost,2nd,New Zealand,Christchurch,2/8/1998,Stephen Fleming (NZ)
New Zealand,lost,7 wickets,70,won,1st,Australia,Christchurch,2/8/1998,Stephen Fleming (NZ)
Australia,won,7 wickets,71,lost,2nd,Sri Lanka,Pallekele,8/10/2011,
Pakistan,lost,7 wickets,71,won,1st,Sri Lanka,Sharjah,10/27/2001,
Sri Lanka,lost,7 wickets,71,won,1st,Australia,Pallekele,8/10/2011,
Sri Lanka,won,7 wickets,71,lost,2nd,Pakistan,Sharjah,10/27/2001,
Pakistan,lost,7 wickets,74,won,1st,South Africa,Multan,10/26/2007,
South Africa,won,7 wickets,74,lost,2nd,Pakistan,Multan,10/26/2007,
England,won,7 wickets,75,won,2nd,South Africa,The Oval,6/19/2013,
India,lost,7 wickets,75,lost,1st,Sri Lanka,Dambulla,6/22/2010,
Pakistan,lost,7 wickets,75,won,1st,South Africa,Colombo (SSC),7/12/2000,
South Africa,lost,7 wickets,75,lost,1st,England,The Oval,6/19/2013,
South Africa,won,7 wickets,75,lost,2nd,Pakistan,Colombo (SSC),7/12/2000,
Sri Lanka,won,7 wickets,75,won,2nd,India,Dambulla,6/22/2010,
Australia,won,7 wickets,76,won,2nd,New Zealand,The Oval,9/16/2004,Stephen Fleming (NZ)
New Zealand,lost,7 wickets,76,lost,1st,Australia,The Oval,9/16/2004,Stephen Fleming (NZ)
New Zealand,won,7 wickets,76,won,2nd,Sri Lanka,Queenstown,12/31/2005,Daniel Vettori (NZ)
Sri Lanka,lost,7 wickets,76,lost,1st,New Zealand,Queenstown,12/31/2005,Daniel Vettori (NZ)
India,won,7 wickets,80,won,2nd,Sri Lanka,Hobart,2/28/2012,
Sri Lanka,lost,7 wickets,80,lost,1st,India,Hobart,2/28/2012,
England,won,7 wickets,82,lost,2nd,India,Lord's,9/8/2007,
India,lost,7 wickets,82,won,1st,England,Lord's,9/8/2007,
Pakistan,lost,7 wickets,83,lost,1st,West Indies,Adelaide,12/17/1996,
West Indies,won,7 wickets,83,won,2nd,Pakistan,Adelaide,12/17/1996,
New Zealand,lost,7 wickets,84,won,1st,Sri Lanka,Mumbai (BS),10/20/2006,Stephen Fleming (NZ)
Sri Lanka,won,7 wickets,84,lost,2nd,New Zealand,Mumbai (BS),10/20/2006,Stephen Fleming (NZ)
Pakistan,lost,7 wickets,87,won,1st,South Africa,Centurion,4/17/1998,
South Africa,won,7 wickets,87,lost,2nd,Pakistan,Centurion,4/17/1998,
England,won,7 wickets,90,lost,2nd,South Africa,Leeds,5/24/1998,
South Africa,lost,7 wickets,90,won,1st,England,Leeds,5/24/1998,
India,won,7 wickets,91,won,2nd,Sri Lanka,Rajkot,11/9/2005,
Pakistan,lost,7 wickets,91,won,1st,West Indies,Multan,12/13/2006,
Sri Lanka,lost,7 wickets,91,lost,1st,India,Rajkot,11/9/2005,
West Indies,won,7 wickets,91,lost,2nd,Pakistan,Multan,12/13/2006,
India,won,7 wickets,92,lost,2nd,Pakistan,Toronto,9/14/1997,
Pakistan,lost,7 wickets,92,won,1st,India,Toronto,9/14/1997,
England,lost,7 wickets,93,won,1st,South Africa,Nottingham,9/5/2012,
South Africa,won,7 wickets,93,lost,2nd,England,Nottingham,9/5/2012,
Australia,won,7 wickets,94,won,2nd,New Zealand,Wellington,3/1/2005,Stephen Fleming (NZ)
New Zealand,lost,7 wickets,94,lost,1st,Australia,Wellington,3/1/2005,Stephen Fleming (NZ)
Australia,won,7 wickets,96,won,2nd,New Zealand,Nagpur,2/25/2011,Daniel Vettori (NZ)
New Zealand,lost,7 wickets,96,lost,1st,Australia,Nagpur,2/25/2011,Daniel Vettori (NZ)
Australia,won,7 wickets,101,lost,2nd,New Zealand,Melbourne,3/29/2015,Brendon McCullum (NZ)
New Zealand,lost,7 wickets,101,won,1st,Australia,Melbourne,3/29/2015,Brendon McCullum (NZ)
New Zealand,won,7 wickets,102,won,2nd,Sri Lanka,Auckland,12/26/2004,Stephen Fleming (NZ)
Sri Lanka,lost,7 wickets,102,lost,1st,New Zealand,Auckland,12/26/2004,Stephen Fleming (NZ)
Australia,won,7 wickets,103,won,2nd,Pakistan,Melbourne (Docklands),6/12/2002,
Pakistan,lost,7 wickets,103,lost,1st,Australia,Melbourne (Docklands),6/12/2002,
England,lost,7 wickets,106,lost,1st,West Indies,Nottingham,6/27/2004,
England,won,7 wickets,106,won,2nd,India,Nottingham,9/1/2004,
India,lost,7 wickets,106,lost,1st,England,Nottingham,9/1/2004,
India,won,7 wickets,106,won,2nd,Sri Lanka,Hobart,2/26/2008,
Sri Lanka,lost,7 wickets,106,lost,1st,India,Hobart,2/26/2008,
West Indies,won,7 wickets,106,won,2nd,England,Nottingham,6/27/2004,
India,won,7 wickets,107,won,2nd,West Indies,Johannesburg,9/30/2009,
West Indies,lost,7 wickets,107,lost,1st,India,Johannesburg,9/30/2009,
Pakistan,lost,7 wickets,108,won,1st,Sri Lanka,Colombo (RPS),7/21/2004,
Sri Lanka,won,7 wickets,108,lost,2nd,Pakistan,Colombo (RPS),7/21/2004,
Australia,won,7 wickets,111,lost,2nd,South Africa,Gros Islet,4/25/2007,
South Africa,lost,7 wickets,111,won,1st,Australia,Gros Islet,4/25/2007,
England,won,7 wickets,112,lost,2nd,South Africa,Port Elizabeth,11/29/2009,
South Africa,lost,7 wickets,112,won,1st,England,Port Elizabeth,11/29/2009,
Australia,lost,7 wickets,130,won,1st,South Africa,Perth,1/18/1998,
South Africa,won,7 wickets,130,lost,2nd,Australia,Perth,1/18/1998,
England,lost,7 wickets,131,lost,1st,India,Ranchi,1/19/2013,
India,won,7 wickets,131,won,2nd,England,Ranchi,1/19/2013,
Pakistan,lost,7 wickets,131,won,1st,West Indies,Southampton,9/22/2004,
West Indies,won,7 wickets,131,lost,2nd,Pakistan,Southampton,9/22/2004,
New Zealand,won,7 wickets,135,won,2nd,Pakistan,Dambulla,5/11/2003,Stephen Fleming (NZ)
Pakistan,lost,7 wickets,135,lost,1st,New Zealand,Dambulla,5/11/2003,Stephen Fleming (NZ)
Australia,lost,7 wickets,142,won,1st,South Africa,Centurion,4/5/2009,
South Africa,won,7 wickets,142,lost,2nd,Australia,Centurion,4/5/2009,
Sri Lanka,lost,7 wickets,143,won,1st,West Indies,Brisbane,1/5/1996,
West Indies,won,7 wickets,143,lost,2nd,Sri Lanka,Brisbane,1/5/1996,
India,lost,7 wickets,146,lost,1st,New Zealand,Queenstown,1/4/2003,Stephen Fleming (NZ)
New Zealand,won,7 wickets,146,won,2nd,India,Queenstown,1/4/2003,Stephen Fleming (NZ)
New Zealand,lost,7 wickets,148,won,1st,Pakistan,Sharjah,4/15/2001,
Pakistan,won,7 wickets,148,lost,2nd,New Zealand,Sharjah,4/15/2001,
England,won,7 wickets,168,lost,2nd,Pakistan,The Oval,6/20/2003,
England,won,7 wickets,168,won,2nd,West Indies,Leeds,7/1/2004,
Pakistan,lost,7 wickets,168,won,1st,England,The Oval,6/20/2003,
West Indies,lost,7 wickets,168,lost,1st,England,Leeds,7/1/2004,
New Zealand,won,7 wickets,174,lost,2nd,Sri Lanka,Christchurch,12/26/2015,Brendon McCullum (NZ)
Sri Lanka,lost,7 wickets,174,won,1st,New Zealand,Christchurch,12/26/2015,Brendon McCullum (NZ)
New Zealand,won,7 wickets,177,won,2nd,West Indies,Wellington,1/7/2009,Daniel Vettori (NZ)
West Indies,lost,7 wickets,177,lost,1st,New Zealand,Wellington,1/7/2009,Daniel Vettori (NZ)
England,won,7 wickets,178,won,2nd,South Africa,Lord's,7/12/2003,
Pakistan,lost,7 wickets,178,won,1st,Sri Lanka,Dambulla,8/30/2014,
South Africa,lost,7 wickets,178,lost,1st,England,Lord's,7/12/2003,
Sri Lanka,won,7 wickets,178,lost,2nd,Pakistan,Dambulla,8/30/2014,
England,lost,7 wickets,196,lost,1st,New Zealand,Chester-le-Street,6/29/2004,Stephen Fleming (NZ)
New Zealand,won,7 wickets,196,won,2nd,England,Chester-le-Street,6/29/2004,Stephen Fleming (NZ)
England,won,70 runs,0,lost,1st,India,The Oval,9/3/2004,
India,lost,70 runs,0,lost,2nd,West Indies,Toronto,9/12/1999,
India,lost,70 runs,0,won,2nd,England,The Oval,9/3/2004,
India,lost,70 runs,0,won,2nd,New Zealand,Christchurch,1/19/1999,Dion  Nash (NZ)
New Zealand,won,70 runs,0,lost,1st,India,Christchurch,1/19/1999,Dion  Nash (NZ)
West Indies,won,70 runs,0,won,1st,India,Toronto,9/12/1999,
India,lost,71 runs,0,lost,2nd,Sri Lanka,Dhaka,6/1/2000,
Sri Lanka,won,71 runs,0,won,1st,India,Dhaka,6/1/2000,
Australia,won,72 runs,0,won,1st,India,Pune,10/13/2013,
India,lost,72 runs,0,lost,2nd,Australia,Pune,10/13/2013,
New Zealand,lost,72 runs,0,won,2nd,South Africa,Mount Maunganui,10/24/2014,Brendon McCullum (NZ)
South Africa,won,72 runs,0,lost,1st,New Zealand,Mount Maunganui,10/24/2014,Brendon McCullum (NZ)
Australia,won,73 runs,0,won,1st,South Africa,Canberra,11/19/2014,
Australia,won,73 runs,0,won,1st,West Indies,Adelaide,1/26/2005,
South Africa,lost,73 runs,0,lost,2nd,Australia,Canberra,11/19/2014,
West Indies,lost,73 runs,0,lost,2nd,Australia,Adelaide,1/26/2005,
Australia,won,74 runs,0,won,1st,West Indies,Melbourne,1/11/2001,
India,lost,74 runs,0,lost,2nd,Sri Lanka,Dambulla,8/28/2010,
India,won,74 runs,0,won,1st,South Africa,Mumbai,12/14/1996,
New Zealand,lost,74 runs,0,lost,2nd,South Africa,Birmingham,6/10/1999,Stephen Fleming (NZ)
South Africa,lost,74 runs,0,lost,2nd,India,Mumbai,12/14/1996,
South Africa,won,74 runs,0,won,1st,New Zealand,Birmingham,6/10/1999,Stephen Fleming (NZ)
Sri Lanka,won,74 runs,0,won,1st,India,Dambulla,8/28/2010,
West Indies,lost,74 runs,0,lost,2nd,Australia,Melbourne,1/11/2001,
Pakistan,lost,75 runs,0,won,2nd,Sri Lanka,Sharjah,11/8/1996,
South Africa,won,75 runs,0,won,1st,Sri Lanka,Colombo (RPS),7/6/2014,
Sri Lanka,lost,75 runs,0,lost,2nd,South Africa,Colombo (RPS),7/6/2014,
Sri Lanka,won,75 runs,0,lost,1st,Pakistan,Sharjah,11/8/1996,
India,won,76 runs,0,won,1st,Pakistan,Adelaide,2/15/2015,
Pakistan,lost,76 runs,0,lost,2nd,India,Adelaide,2/15/2015,
Pakistan,lost,76 runs,0,lost,2nd,Sri Lanka,Pallekele,6/9/2012,
South Africa,lost,76 runs,0,lost,2nd,Sri Lanka,Hobart,2/7/2006,
Sri Lanka,won,76 runs,0,won,1st,Pakistan,Pallekele,6/9/2012,
Sri Lanka,won,76 runs,0,won,1st,South Africa,Hobart,2/7/2006,
Australia,lost,77 runs,0,lost,2nd,New Zealand,Adelaide,1/26/2002,Stephen Fleming (NZ)
Australia,won,77 runs,0,lost,1st,India,The Oval,6/4/1999,
Australia,won,77 runs,0,won,1st,India,Mumbai,11/1/2003,
India,lost,77 runs,0,lost,2nd,Australia,Mumbai,11/1/2003,
India,lost,77 runs,0,won,2nd,Australia,The Oval,6/4/1999,
India,lost,77 runs,0,won,2nd,Pakistan,Toronto,9/16/1998,
New Zealand,won,77 runs,0,won,1st,Australia,Adelaide,1/26/2002,Stephen Fleming (NZ)
Pakistan,lost,77 runs,0,lost,2nd,Sri Lanka,Hambantota,8/26/2014,
Pakistan,lost,77 runs,0,lost,2nd,Sri Lanka,Sharjah,4/20/2001,
Pakistan,won,77 runs,0,lost,1st,India,Toronto,9/16/1998,
Sri Lanka,won,77 runs,0,won,1st,Pakistan,Hambantota,8/26/2014,
Sri Lanka,won,77 runs,0,won,1st,Pakistan,Sharjah,4/20/2001,
Australia,lost,78 runs,0,won,2nd,Sri Lanka,Hambantota,8/16/2011,
Australia,won,78 runs,0,lost,1st,England,The Oval,6/30/2010,
Australia,won,78 runs,0,won,1st,West Indies,Kuala Lumpur,9/12/2006,
England,lost,78 runs,0,lost,2nd,South Africa,Rawalpindi,2/25/1996,
England,lost,78 runs,0,won,2nd,Australia,The Oval,6/30/2010,
South Africa,won,78 runs,0,lost,1st,Sri Lanka,Ahmedabad,10/24/2006,
South Africa,won,78 runs,0,won,1st,England,Rawalpindi,2/25/1996,
Sri Lanka,lost,78 runs,0,won,2nd,South Africa,Ahmedabad,10/24/2006,
Sri Lanka,won,78 runs,0,lost,1st,Australia,Hambantota,8/16/2011,
West Indies,lost,78 runs,0,lost,2nd,Australia,Kuala Lumpur,9/12/2006,
Australia,lost,79 runs,0,won,2nd,Sri Lanka,Sydney,1/9/2003,
England,won,79 runs,0,lost,1st,West Indies,Lord's,7/1/2007,
New Zealand,won,79 runs,0,lost,1st,Sri Lanka,Sharjah,4/17/2001,
Pakistan,won,79 runs,0,lost,1st,Sri Lanka,Dambulla,5/10/2003,
Sri Lanka,lost,79 runs,0,won,2nd,New Zealand,Sharjah,4/17/2001,
Sri Lanka,lost,79 runs,0,won,2nd,Pakistan,Dambulla,5/10/2003,
Sri Lanka,won,79 runs,0,lost,1st,Australia,Sydney,1/9/2003,
West Indies,lost,79 runs,0,won,2nd,England,Lord's,7/1/2007,
Australia,lost,8 runs,0,lost,2nd,India,Chandigarh,10/8/2007,
Australia,lost,8 runs,0,lost,2nd,South Africa,Melbourne (Docklands),8/20/2000,
Australia,won,8 runs,0,won,1st,New Zealand,Perth,1/28/2007,Stephen Fleming (NZ)
Australia,won,8 runs,0,won,1st,South Africa,Johannesburg,4/8/1997,
England,won,8 runs,0,won,1st,Pakistan,Sharjah,12/15/1997,
India,lost,8 runs,0,won,2nd,Sri Lanka,Colombo (SSC),7/1/1998,
India,won,8 runs,0,won,1st,Australia,Chandigarh,10/8/2007,
New Zealand,lost,8 runs,0,lost,2nd,Australia,Perth,1/28/2007,Stephen Fleming (NZ)
Pakistan,lost,8 runs,0,lost,2nd,England,Sharjah,12/15/1997,
Pakistan,lost,8 runs,0,lost,2nd,South Africa,Tangier,8/18/2002,
Pakistan,won,8 runs,0,won,1st,South Africa,Lahore,10/3/2003,
South Africa,lost,8 runs,0,lost,2nd,Australia,Johannesburg,4/8/1997,
South Africa,lost,8 runs,0,lost,2nd,Pakistan,Lahore,10/3/2003,
South Africa,won,8 runs,0,won,1st,Australia,Melbourne (Docklands),8/20/2000,
South Africa,won,8 runs,0,won,1st,Pakistan,Tangier,8/18/2002,
Sri Lanka,won,8 runs,0,lost,1st,India,Colombo (SSC),7/1/1998,
South Africa,won,8 wickets,7,lost,2nd,Sri Lanka,Paarl,1/9/2001,
Sri Lanka,lost,8 wickets,7,won,1st,South Africa,Paarl,1/9/2001,
Pakistan,won,8 wickets,8,lost,2nd,Sri Lanka,Karachi,10/6/2004,
Sri Lanka,lost,8 wickets,8,won,1st,Pakistan,Karachi,10/6/2004,
Sri Lanka,won,8 wickets,9,lost,2nd,West Indies,Colombo (RPS),11/4/2015,
West Indies,lost,8 wickets,9,won,1st,Sri Lanka,Colombo (RPS),11/4/2015,
India,lost,8 wickets,12,lost,1st,Sri Lanka,Canberra,2/12/2008,
Sri Lanka,won,8 wickets,12,won,2nd,India,Canberra,2/12/2008,
Australia,lost,8 wickets,13,lost,1st,England,Chester-le-Street,7/7/2012,
Australia,won,8 wickets,13,won,2nd,South Africa,Durban,4/3/2002,
England,won,8 wickets,13,won,2nd,Australia,Chester-le-Street,7/7/2012,
South Africa,lost,8 wickets,13,lost,1st,Australia,Durban,4/3/2002,
South Africa,won,8 wickets,13,won,2nd,West Indies,Johannesburg,2/3/2008,
West Indies,lost,8 wickets,13,lost,1st,South Africa,Johannesburg,2/3/2008,
England,won,8 wickets,14,won,2nd,New Zealand,Napier,2/20/2013,Brendon McCullum (NZ)
New Zealand,lost,8 wickets,14,lost,1st,England,Napier,2/20/2013,Brendon McCullum (NZ)
India,won,8 wickets,17,won,2nd,Pakistan,Birmingham,6/15/2013,
Pakistan,lost,8 wickets,17,lost,1st,India,Birmingham,6/15/2013,
Australia,lost,8 wickets,18,won,1st,West Indies,Bridgetown,4/25/1999,
West Indies,won,8 wickets,18,lost,2nd,Australia,Bridgetown,4/25/1999,
England,won,8 wickets,19,won,2nd,Sri Lanka,Lord's,5/14/1999,
India,won,8 wickets,19,won,2nd,Pakistan,Karachi,2/19/2006,
India,won,8 wickets,19,won,2nd,Pakistan,Toronto,9/16/1996,
Pakistan,lost,8 wickets,19,lost,1st,India,Karachi,2/19/2006,
Pakistan,lost,8 wickets,19,lost,1st,India,Toronto,9/16/1996,
Sri Lanka,lost,8 wickets,19,lost,1st,England,Lord's,5/14/1999,
Pakistan,won,8 wickets,20,lost,2nd,Sri Lanka,Sharjah,11/12/1996,
Sri Lanka,lost,8 wickets,20,won,1st,Pakistan,Sharjah,11/12/1996,
England,won,8 wickets,22,lost,2nd,Pakistan,Nottingham,9/8/2006,
New Zealand,lost,8 wickets,22,won,1st,Sri Lanka,Nelson,12/31/2015,
Pakistan,lost,8 wickets,22,won,1st,England,Nottingham,9/8/2006,
Sri Lanka,won,8 wickets,22,lost,2nd,New Zealand,Nelson,12/31/2015,
Australia,won,8 wickets,23,lost,2nd,Sri Lanka,Sydney,1/13/1999,
South Africa,won,8 wickets,23,won,2nd,West Indies,St George's,5/6/2001,
Sri Lanka,lost,8 wickets,23,won,1st,Australia,Sydney,1/13/1999,
West Indies,lost,8 wickets,23,lost,1st,South Africa,St George's,5/6/2001,
Pakistan,won,8 wickets,25,lost,2nd,Sri Lanka,Karachi,1/20/2009,
South Africa,won,8 wickets,25,won,2nd,West Indies,St John's,5/2/2001,
Sri Lanka,lost,8 wickets,25,won,1st,Pakistan,Karachi,1/20/2009,
West Indies,lost,8 wickets,25,lost,1st,South Africa,St John's,5/2/2001,
India,lost,8 wickets,27,won,1st,Pakistan,Karachi,7/2/2008,
Pakistan,won,8 wickets,27,lost,2nd,India,Karachi,7/2/2008,
Sri Lanka,won,8 wickets,27,won,2nd,West Indies,Colombo (SSC),2/3/2011,
West Indies,lost,8 wickets,27,lost,1st,Sri Lanka,Colombo (SSC),2/3/2011,
Australia,won,8 wickets,28,lost,2nd,England,Melbourne,1/12/2007,
England,lost,8 wickets,28,won,1st,Australia,Melbourne,1/12/2007,
Australia,won,8 wickets,29,lost,2nd,India,Pune,3/28/2001,
India,lost,8 wickets,29,won,1st,Australia,Pune,3/28/2001,
New Zealand,lost,8 wickets,29,won,1st,South Africa,Melbourne,2/6/2002,Stephen Fleming (NZ)
South Africa,won,8 wickets,29,lost,2nd,New Zealand,Melbourne,2/6/2002,Stephen Fleming (NZ)
Australia,lost,8 wickets,30,won,1st,South Africa,Guwahati,11/1/1996,
England,won,8 wickets,30,won,2nd,West Indies,The Oval,6/19/2012,
India,lost,8 wickets,30,lost,1st,Pakistan,Singapore,4/5/1996,
Pakistan,won,8 wickets,30,won,2nd,India,Singapore,4/5/1996,
South Africa,won,8 wickets,30,lost,2nd,Australia,Guwahati,11/1/1996,
South Africa,won,8 wickets,30,lost,2nd,West Indies,Kingston,5/7/2005,
West Indies,lost,8 wickets,30,lost,1st,England,The Oval,6/19/2012,
West Indies,lost,8 wickets,30,won,1st,South Africa,Kingston,5/7/2005,
India,lost,8 wickets,31,won,1st,West Indies,Port of Spain,4/26/1997,
West Indies,won,8 wickets,31,lost,2nd,India,Port of Spain,4/26/1997,
New Zealand,won,8 wickets,33,lost,2nd,South Africa,Potchefstroom,8/23/2015,
South Africa,lost,8 wickets,33,won,1st,New Zealand,Potchefstroom,8/23/2015,
Australia,lost,8 wickets,34,won,1st,Sri Lanka,Adelaide,3/6/2012,
Australia,won,8 wickets,34,lost,2nd,Pakistan,Abu Dhabi,5/1/2009,
England,lost,8 wickets,34,lost,1st,Pakistan,Lahore,10/27/2000,
Pakistan,lost,8 wickets,34,won,1st,Australia,Abu Dhabi,5/1/2009,
Pakistan,won,8 wickets,34,won,2nd,England,Lahore,10/27/2000,
Sri Lanka,won,8 wickets,34,lost,2nd,Australia,Adelaide,3/6/2012,
South Africa,lost,8 wickets,36,won,1st,Sri Lanka,Pallekele,7/28/2013,
Sri Lanka,won,8 wickets,36,lost,2nd,South Africa,Pallekele,7/28/2013,
India,won,8 wickets,38,lost,2nd,Sri Lanka,Colombo (RPS),6/19/1998,
South Africa,won,8 wickets,38,won,2nd,West Indies,Kingston,5/8/2005,
Sri Lanka,lost,8 wickets,38,won,1st,India,Colombo (RPS),6/19/1998,
West Indies,lost,8 wickets,38,lost,1st,South Africa,Kingston,5/8/2005,
Australia,won,8 wickets,41,lost,2nd,West Indies,Mumbai (BS),11/5/2006,
Sri Lanka,won,8 wickets,41,won,2nd,West Indies,Kandy,12/15/2001,
West Indies,lost,8 wickets,41,lost,1st,Sri Lanka,Kandy,12/15/2001,
West Indies,lost,8 wickets,41,won,1st,Australia,Mumbai (BS),11/5/2006,
India,won,8 wickets,42,won,2nd,New Zealand,Jaipur,12/1/2010,Daniel Vettori (NZ)
New Zealand,lost,8 wickets,42,lost,1st,India,Jaipur,12/1/2010,Daniel Vettori (NZ)
New Zealand,lost,8 wickets,42,lost,1st,India,Jaipur,12/1/2010,Ross Taylor (NZ)
India,won,8 wickets,45,lost,2nd,New Zealand,Bangalore,5/14/1997,Stephen Fleming (NZ)
New Zealand,lost,8 wickets,45,won,1st,India,Bangalore,5/14/1997,Stephen Fleming (NZ)
England,lost,8 wickets,46,won,1st,Sri Lanka,Chester-le-Street,6/24/2006,
Sri Lanka,won,8 wickets,46,lost,2nd,England,Chester-le-Street,6/24/2006,
New Zealand,lost,8 wickets,47,won,1st,Pakistan,Sharjah,4/12/2001,
Pakistan,won,8 wickets,47,lost,2nd,New Zealand,Sharjah,4/12/2001,
Australia,won,8 wickets,48,lost,2nd,West Indies,Sydney,12/8/1996,
West Indies,lost,8 wickets,48,won,1st,Australia,Sydney,12/8/1996,
Pakistan,won,8 wickets,51,lost,2nd,West Indies,Gros Islet,4/23/2011,
West Indies,lost,8 wickets,51,won,1st,Pakistan,Gros Islet,4/23/2011,
Australia,won,8 wickets,53,lost,2nd,India,Galle,8/23/1999,
India,lost,8 wickets,53,won,1st,Australia,Galle,8/23/1999,
India,won,8 wickets,53,lost,2nd,Pakistan,Dhaka,1/14/1998,
Pakistan,lost,8 wickets,53,won,1st,India,Dhaka,1/14/1998,
Pakistan,won,8 wickets,53,lost,2nd,Sri Lanka,Abu Dhabi,12/25/2013,
Sri Lanka,lost,8 wickets,53,won,1st,Pakistan,Abu Dhabi,12/25/2013,
England,lost,8 wickets,56,won,1st,India,Kanpur,1/28/2002,
India,won,8 wickets,56,lost,2nd,England,Kanpur,1/28/2002,
Pakistan,won,8 wickets,56,won,2nd,West Indies,Lahore,11/4/1997,
West Indies,lost,8 wickets,56,lost,1st,Pakistan,Lahore,11/4/1997,
Australia,lost,8 wickets,59,lost,1st,Sri Lanka,Adelaide,1/13/2013,
Sri Lanka,won,8 wickets,59,won,2nd,Australia,Adelaide,1/13/2013,
Pakistan,lost,8 wickets,60,lost,1st,Sri Lanka,Lahore,11/5/1997,
Sri Lanka,won,8 wickets,60,won,2nd,Pakistan,Lahore,11/5/1997,
Australia,lost,8 wickets,63,won,1st,Sri Lanka,Colombo (RPS),8/31/1999,
England,lost,8 wickets,63,won,1st,India,Colombo (RPS),9/22/2002,
India,won,8 wickets,63,lost,2nd,England,Colombo (RPS),9/22/2002,
Pakistan,lost,8 wickets,63,won,1st,South Africa,Abu Dhabi,10/29/2010,
South Africa,won,8 wickets,63,lost,2nd,Pakistan,Abu Dhabi,10/29/2010,
Sri Lanka,won,8 wickets,63,lost,2nd,Australia,Colombo (RPS),8/31/1999,
England,lost,8 wickets,64,won,1st,Sri Lanka,Colombo (RPS),11/29/2014,
Pakistan,won,8 wickets,64,won,2nd,West Indies,Sydney,1/14/1997,
Sri Lanka,won,8 wickets,64,lost,2nd,England,Colombo (RPS),11/29/2014,
West Indies,lost,8 wickets,64,lost,1st,Pakistan,Sydney,1/14/1997,
England,lost,8 wickets,65,won,1st,South Africa,Nairobi (Gym),10/10/2000,
India,won,8 wickets,65,won,2nd,West Indies,The Oval,6/11/2013,
South Africa,won,8 wickets,65,lost,2nd,England,Nairobi (Gym),10/10/2000,
West Indies,lost,8 wickets,65,lost,1st,India,The Oval,6/11/2013,
Australia,won,8 wickets,70,lost,2nd,Sri Lanka,Hambantota,8/14/2011,
Sri Lanka,lost,8 wickets,70,won,1st,Australia,Hambantota,8/14/2011,
Australia,lost,8 wickets,71,won,1st,South Africa,Adelaide,1/26/2009,
South Africa,won,8 wickets,71,lost,2nd,Australia,Adelaide,1/26/2009,
England,lost,8 wickets,75,won,1st,Sri Lanka,Leeds,7/1/2006,
India,won,8 wickets,75,won,2nd,West Indies,Toronto,9/11/1999,
Sri Lanka,won,8 wickets,75,lost,2nd,England,Leeds,7/1/2006,
West Indies,lost,8 wickets,75,lost,1st,India,Toronto,9/11/1999,
India,lost,8 wickets,79,won,1st,Sri Lanka,Colombo (RPS),7/26/1997,
Sri Lanka,won,8 wickets,79,lost,2nd,India,Colombo (RPS),7/26/1997,
England,lost,8 wickets,80,won,1st,India,Delhi,10/17/2011,
India,won,8 wickets,80,lost,2nd,England,Delhi,10/17/2011,
New Zealand,won,8 wickets,81,won,2nd,West Indies,Wellington,1/8/2000,Stephen Fleming (NZ)
West Indies,lost,8 wickets,81,lost,1st,New Zealand,Wellington,1/8/2000,Stephen Fleming (NZ)
Pakistan,lost,8 wickets,83,won,1st,Sri Lanka,Colombo (RPS),9/12/2002,
Sri Lanka,won,8 wickets,83,lost,2nd,Pakistan,Colombo (RPS),9/12/2002,
